League,Season,URL,Home,Away,Date,Final_Result,HT_Result,1X2_Close_1,1X2_Close_X,1X2_Close_2,1X2_Open_1,1X2_Open_X,1X2_Open_2,OU_2_Over_Close,OU_2_Under_Close,OU_2_Over_Open,OU_2_Under_Open,OU_2_25_Over_Close,OU_2_25_Under_Close,OU_2_25_Over_Open,OU_2_25_Under_Open,OU_2_5_Over_Close,OU_2_5_Under_Close,OU_2_5_Over_Open,OU_2_5_Under_Open,OU_2_75_Over_Close,OU_2_75_Under_Close,OU_2_75_Over_Open,OU_2_75_Under_Open,OU_3_Over_Close,OU_3_Under_Close,OU_3_Over_Open,OU_3_Under_Open,AH_0_Home_Close,AH_0_Away_Close,AH_0_Home_Open,AH_0_Away_Open,AH_minus_0_25_Home_Close,AH_minus_0_25_Away_Close,AH_minus_0_25_Home_Open,AH_minus_0_25_Away_Open,AH_minus_0_5_Home_Close,AH_minus_0_5_Away_Close,AH_minus_0_5_Home_Open,AH_minus_0_5_Away_Open,AH_minus_0_75_Home_Close,AH_minus_0_75_Away_Close,AH_minus_0_75_Home_Open,AH_minus_0_75_Away_Open,AH_minus_1_Home_Close,AH_minus_1_Away_Close,AH_minus_1_Home_Open,AH_minus_1_Away_Open,AH_minus_1_25_Home_Close,AH_minus_1_25_Away_Close,AH_minus_1_25_Home_Open,AH_minus_1_25_Away_Open,AH_plus_0_25_Home_Close,AH_plus_0_25_Away_Close,AH_plus_0_25_Home_Open,AH_plus_0_25_Away_Open,AH_plus_0_5_Home_Close,AH_plus_0_5_Away_Close,AH_plus_0_5_Home_Open,AH_plus_0_5_Away_Open,AH_plus_0_75_Home_Close,AH_plus_0_75_Away_Close,AH_plus_0_75_Home_Open,AH_plus_0_75_Away_Open,AH_plus_1_Home_Close,AH_plus_1_Away_Close,AH_plus_1_Home_Open,AH_plus_1_Away_Open,AH_plus_1_25_Home_Close,AH_plus_1_25_Away_Close,AH_plus_1_25_Home_Open,AH_plus_1_25_Away_Open,BTTS_Yes_Close,BTTS_No_Close,BTTS_Yes_Open,BTTS_No_Open
Croatia Prva NL,2017-2018,https://www.oddsportal.com/football/croatia/2-hnl-2017-2018/hnk-gorica-sibenik-SnrbuRKB/,Gorica,Sibenik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia Prva NL,2017-2018,https://www.oddsportal.com/football/croatia/2-hnl-2017-2018/lucko-dragovoljac-KGytjrZT/,Lucko,Dragovoljac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia Prva NL,2017-2018,https://www.oddsportal.com/football/croatia/2-hnl-2017-2018/sibenik-dugopolje-YqT1YI7R/,Sibenik,Dugopolje,30 Sep 2017,1:2,,2.50,3.10,2.52,2.53,3.07,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.81,,1.82
Croatia Prva NL,2017-2018,https://www.oddsportal.com/football/croatia/2-hnl-2017-2018/hnk-gorica-kustosija-Qs8tRz01/,Gorica,Kustosija,07 Oct 2017,1:0,0:0,1.25,5.10,10.50,,4.84,9.30,,,,,,,,,1.90,1.84,1.90,1.90,,,,,,,,,1.06,8.00,1.01,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,1.50,2.45,1.50
Croatia Prva NL,2017-2018,https://www.oddsportal.com/football/croatia/2-hnl-2017-2018/sibenik-varazdin-M7ITJDgR/,Sibenik,Varazdin,02 Dec 2017,2:1,0:1,2.23,3.05,3.20,,,2.92,1.70,2.03,1.70,2.03,,,,,2.24,1.59,2.30,1.60,,,,,3.40,1.27,3.40,1.27,1.58,2.29,,,1.95,1.85,,,,,,,,,,,3.20,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,1.73,1.93,1.80
Croatia Prva NL,2017-2018,https://www.oddsportal.com/football/croatia/2-hnl-2017-2018/sibenik-dinamo-zagreb-fewVbCH1/,Sibenik,NK Dinamo Zagreb 2,25 Nov 2017,0:0,0:0,3.14,3.02,2.18,3.52,3.24,2.06,,,,,,,,,2.09,1.68,2.10,1.70,,,,,,,,,2.16,1.62,,,,,,,,,,,,,,,,,,,,,,,1.85,1.95,,,,,,,,,,,,,,,,,,,1.80,1.91,1.84,1.89
Croatia Prva NL,2017-2018,https://www.oddsportal.com/football/croatia/2-hnl-2017-2018/solin-varazdin-G8YdZbhL/,Solin,Varazdin,30 Sep 2017,0:0,,2.12,3.30,2.86,,,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,2.05,,2.05
Croatia Prva NL,2017-2018,https://www.oddsportal.com/football/croatia/2-hnl-2017-2018/novigrad-dinamo-zagreb-0QZRBwic/,Novigrad,NK Dinamo Zagreb 2,21 Apr 2018,1:1,,4.30,3.32,1.73,,,1.75,1.39,2.49,1.39,2.49,,,,,1.86,1.83,1.88,1.83,,,,,2.45,1.45,2.45,1.45,3.20,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,2.34,,,,,,,1.74,1.97,1.71,2.04
Croatia Prva NL,2017-2018,https://www.oddsportal.com/football/croatia/2-hnl-2017-2018/dinamo-zagreb-dragovoljac-SrhnOSpD/,NK Dinamo Zagreb 2,Dragovoljac,14 Mar 2018,1:0,0:0,1.32,5.35,6.95,,4.00,6.40,1.27,3.40,1.45,2.32,,,,,1.55,2.32,2.00,1.80,,,,,1.76,1.88,2.51,1.35,1.05,5.25,1.03,11.50,,,,,,,,,,,,,1.55,2.30,1.84,1.68,,,,,,,,,,,,,,,,,,,,,,,,,2.10,1.69,2.16,1.63
Croatia Prva NL,2017-2018,https://www.oddsportal.com/football/croatia/2-hnl-2017-2018/kustosija-hnk-gorica-xfaZQU0f/,Kustosija,Gorica,14 Mar 2018,1:1,1:0,4.08,3.28,1.85,3.76,3.10,1.93,1.76,2.05,1.74,1.98,,,,,2.40,1.52,2.35,1.58,,,,,3.50,1.25,3.50,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,2.02,1.07,2.00,,,,,1.38,3.05,1.05,2.10,,,,,2.08,1.67,,1.67
Croatia Prva NL,2017-2018,https://www.oddsportal.com/football/croatia/2-hnl-2017-2018/sibenik-sesvete-MTDJ20Hq/,Sibenik,Sesvete,16 Sep 2017,1:0,,2.64,3.20,2.38,,3.36,2.17,,,,,,,,,1.98,1.76,2.00,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,2.10,,2.10
Croatia Prva NL,2017-2018,https://www.oddsportal.com/football/croatia/2-hnl-2017-2018/hajduk-split-sesvete-IqZnB60n/,Hajduk Split 2,Sesvete,08 Apr 2018,0:1,0:0,1.86,3.28,4.02,,,3.96,1.60,2.20,1.60,2.20,,,,,2.08,1.68,2.10,1.70,,,,,3.00,1.33,3.00,1.33,1.37,3.00,1.22,3.57,,,,,,,,,,,,,2.70,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,1.83,1.88,1.84
