League,Season,URL,Home,Away,Date,Final_Result,HT_Result,1X2_Close_1,1X2_Close_X,1X2_Close_2,1X2_Open_1,1X2_Open_X,1X2_Open_2,OU_2_Over_Close,OU_2_Under_Close,OU_2_Over_Open,OU_2_Under_Open,OU_2_25_Over_Close,OU_2_25_Under_Close,OU_2_25_Over_Open,OU_2_25_Under_Open,OU_2_5_Over_Close,OU_2_5_Under_Close,OU_2_5_Over_Open,OU_2_5_Under_Open,OU_2_75_Over_Close,OU_2_75_Under_Close,OU_2_75_Over_Open,OU_2_75_Under_Open,OU_3_Over_Close,OU_3_Under_Close,OU_3_Over_Open,OU_3_Under_Open,AH_0_Home_Close,AH_0_Away_Close,AH_0_Home_Open,AH_0_Away_Open,AH_minus_0_25_Home_Close,AH_minus_0_25_Away_Close,AH_minus_0_25_Home_Open,AH_minus_0_25_Away_Open,AH_minus_0_5_Home_Close,AH_minus_0_5_Away_Close,AH_minus_0_5_Home_Open,AH_minus_0_5_Away_Open,AH_minus_0_75_Home_Close,AH_minus_0_75_Away_Close,AH_minus_0_75_Home_Open,AH_minus_0_75_Away_Open,AH_minus_1_Home_Close,AH_minus_1_Away_Close,AH_minus_1_Home_Open,AH_minus_1_Away_Open,AH_minus_1_25_Home_Close,AH_minus_1_25_Away_Close,AH_minus_1_25_Home_Open,AH_minus_1_25_Away_Open,AH_plus_0_25_Home_Close,AH_plus_0_25_Away_Close,AH_plus_0_25_Home_Open,AH_plus_0_25_Away_Open,AH_plus_0_5_Home_Close,AH_plus_0_5_Away_Close,AH_plus_0_5_Home_Open,AH_plus_0_5_Away_Open,AH_plus_0_75_Home_Close,AH_plus_0_75_Away_Close,AH_plus_0_75_Home_Open,AH_plus_0_75_Away_Open,AH_plus_1_Home_Close,AH_plus_1_Away_Close,AH_plus_1_Home_Open,AH_plus_1_Away_Open,AH_plus_1_25_Home_Close,AH_plus_1_25_Away_Close,AH_plus_1_25_Home_Open,AH_plus_1_25_Away_Open,BTTS_Yes_Close,BTTS_No_Close,BTTS_Yes_Open,BTTS_No_Open
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/lucko-zadar-QsOxQ5V7/,Lucko,Zadar,14 Nov 2015,1:0,,1.72,3.20,5.10,,3.80,4.85,,,,,,,,,1.91,1.86,1.90,1.90,,,,,,,,,1.24,3.70,,,,,,,,,,,,,,,2.08,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,3.20,1.31,3.20,1.31
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/hnk-gorica-sibenik-nHSBuWC4/,Gorica,Sibenik,28 Aug 2015,0:3,0:1,2.02,3.25,3.20,,3.25,3.25,,,,,,,,,2.08,1.73,2.05,1.75,,,,,,,,,1.53,2.37,,,1.82,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,2.00,1.80,2.00
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/sibenik-rudes-IVa3tRFl/,Sibenik,Rudes,21 Nov 2015,2:2,,1.59,3.70,5.30,,4.00,6.00,,,,,,,,,2.03,1.75,2.10,1.70,,,,,,,,,1.21,4.05,,,,,,,,,,,,,,,1.97,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,1.41,2.69,1.42
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/dugopolje-cibalia-juUOdrzk/,Dugopolje,Cibalia,30 Apr 2016,1:2,1:1,4.12,3.50,1.54,,3.20,2.02,,,,,,,,,2.04,1.75,2.00,1.80,,,,,,,,,3.03,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.88,,,,,,,1.59,2.27,,,,,,,3.03,1.29,2.50,1.50
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/cibalia-hnk-gorica-6HPlyWw9/,Cibalia,Gorica,07 Nov 2015,2:2,,1.78,3.30,4.45,,3.50,3.95,,,,,1.95,1.85,1.95,1.85,2.17,1.65,2.20,1.65,,,,,,,,,1.30,3.25,,,,,,,,,,,1.85,1.95,,,2.57,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,1.28,1.33,1.28
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/zadar-segesta-QB1A8uZ0/,Zadar,Segesta,14 May 2016,2:2,,4.24,4.02,1.59,,3.60,1.93,,,,,,,,,,,,,,,,,,,,,3.24,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,1.90,,,,,,,,,,,3.24,1.33,2.50,1.50
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/sibenik-cibalia-U3SQCfQn/,Sibenik,Cibalia,21 May 2016,0:0,,2.17,3.11,3.24,2.17,3.11,3.24,,,,,,,,,2.06,1.71,2.06,1.71,,,,,,,,,1.56,2.33,,,,,,,,,,,,,,,3.54,1.26,,,,,,,,,,,,,,,,,,,1.09,6.30,,,,,,,4.40,1.17,,
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/zadar-dinamo-zagreb-U9ZmvwOh/,Zadar,NK Dinamo Zagreb 2,24 Mar 2016,1:1,0:0,14.50,7.40,1.13,7.00,4.50,1.34,1.35,3.11,1.38,2.80,1.55,2.38,,,1.74,2.03,1.73,2.08,1.90,1.90,2.03,1.77,2.15,1.68,2.32,1.54,8.30,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,5.50,1.15,,,4.65,1.18,,,4.15,1.22,,,3.00,1.38,,,2.85,1.38,,1.65
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/dinamo-zagreb-rudes-CdkJdq5g/,NK Dinamo Zagreb 2,Rudes,03 Oct 2015,0:2,,1.91,3.14,3.55,1.92,3.30,3.45,,,,,,,,,,,,,,,,,,,,,1.42,2.54,,,,,,,1.73,2.08,,,,,,,3.05,1.34,,,,,,,,,,,,,,,,,,,1.09,6.60,,,,,,,4.05,1.20,4.05,1.20
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/zadar-imotski-KtufYTNR/,Zadar,Imotski,07 Nov 2015,0:1,,1.87,3.30,3.95,,,3.95,,,,,,,,,1.84,1.93,1.88,1.86,,,,,,,,,1.36,2.92,,,,,,,1.88,1.93,,,,,,,2.77,1.41,,,,,,,,,,,,,,,,,,,1.05,7.80,,,,,,,3.55,1.26,,1.26
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/sesvete-dugopolje-xYml3pcL/,Sesvete,Dugopolje,22 Apr 2016,3:1,1:0,1.45,4.00,5.75,,,5.00,,,,,,,,,1.80,1.92,1.85,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,1.85,,1.85
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/dugopolje-hnk-gorica-zsTMDzBt/,Dugopolje,Gorica,14 May 2016,2:2,,1.59,3.80,4.64,,,4.64,,,,,,,,,,,,,,,,,,,,,1.29,3.50,,,,,,,,,,,1.83,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.98,1.80,2.00
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/zadar-sibenik-4KTAkRSL/,Zadar,Sibenik,16 Apr 2016,1:1,1:1,5.50,4.75,1.44,,,1.37,,,,,,,,,1.69,2.12,1.65,2.20,,,,,,,,,4.55,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,1.73,,,1.90,1.90,,,4.55,1.17,5.50,1.12
