League,Season,URL,Home,Away,Date,Final_Result,HT_Result,1X2_Close_1,1X2_Close_X,1X2_Close_2,1X2_Open_1,1X2_Open_X,1X2_Open_2,OU_2_Over_Close,OU_2_Under_Close,OU_2_Over_Open,OU_2_Under_Open,OU_2_25_Over_Close,OU_2_25_Under_Close,OU_2_25_Over_Open,OU_2_25_Under_Open,OU_2_5_Over_Close,OU_2_5_Under_Close,OU_2_5_Over_Open,OU_2_5_Under_Open,OU_2_75_Over_Close,OU_2_75_Under_Close,OU_2_75_Over_Open,OU_2_75_Under_Open,OU_3_Over_Close,OU_3_Under_Close,OU_3_Over_Open,OU_3_Under_Open,AH_0_Home_Close,AH_0_Away_Close,AH_0_Home_Open,AH_0_Away_Open,AH_minus_0_25_Home_Close,AH_minus_0_25_Away_Close,AH_minus_0_25_Home_Open,AH_minus_0_25_Away_Open,AH_minus_0_5_Home_Close,AH_minus_0_5_Away_Close,AH_minus_0_5_Home_Open,AH_minus_0_5_Away_Open,AH_minus_0_75_Home_Close,AH_minus_0_75_Away_Close,AH_minus_0_75_Home_Open,AH_minus_0_75_Away_Open,AH_minus_1_Home_Close,AH_minus_1_Away_Close,AH_minus_1_Home_Open,AH_minus_1_Away_Open,AH_minus_1_25_Home_Close,AH_minus_1_25_Away_Close,AH_minus_1_25_Home_Open,AH_minus_1_25_Away_Open,AH_plus_0_25_Home_Close,AH_plus_0_25_Away_Close,AH_plus_0_25_Home_Open,AH_plus_0_25_Away_Open,AH_plus_0_5_Home_Close,AH_plus_0_5_Away_Close,AH_plus_0_5_Home_Open,AH_plus_0_5_Away_Open,AH_plus_0_75_Home_Close,AH_plus_0_75_Away_Close,AH_plus_0_75_Home_Open,AH_plus_0_75_Away_Open,AH_plus_1_Home_Close,AH_plus_1_Away_Close,AH_plus_1_Home_Open,AH_plus_1_Away_Open,AH_plus_1_25_Home_Close,AH_plus_1_25_Away_Close,AH_plus_1_25_Home_Open,AH_plus_1_25_Away_Open,BTTS_Yes_Close,BTTS_No_Close,BTTS_Yes_Open,BTTS_No_Open
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/bistra-sesvete-IVFNndTt/,Bistra,Sesvete,15 Mar 2015,0:2,,3.30,3.30,1.95,3.30,3.30,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,1.77,,1.77
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/dragovoljac-segesta-EJxMvayK/,Dragovoljac,Segesta,06 Mar 2015,2:1,,1.85,3.25,3.75,,3.30,3.50,,,,,,,,,,,,,,,,,,,,,1.40,2.74,,,,,,,1.93,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.88,1.93,1.88
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/rudes-dugopolje-YcvihI5J/,Rudes,Dugopolje,15 Mar 2015,2:0,,1.83,3.30,3.80,,3.30,3.80,,,,,1.95,1.85,1.95,1.85,2.20,1.65,2.20,1.65,,,,,,,,,1.40,2.74,,,,,,,1.90,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,1.90,1.90,1.90
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/dugopolje-segesta-G6mHez3r/,Dugopolje,Segesta,07 Apr 2015,1:0,,1.50,3.80,5.50,,3.40,4.20,1.37,2.84,1.27,3.40,,,,,2.04,1.76,1.60,2.19,,,,,2.32,1.54,2.00,1.72,1.22,4.00,,,,,,,,,,,,,,,1.96,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20,1.59,2.80,1.38
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/sesvete-lucko-U9iLffIl/,Sesvete,Lucko,07 Apr 2015,1:2,,1.28,5.40,6.40,1.28,5.50,6.50,1.27,3.40,1.27,3.40,,,,,1.74,2.08,1.60,2.19,,,,,2.00,1.72,2.00,1.72,1.11,6.00,,,,,,,,,,,,,,,1.45,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,1.75,1.86,1.84
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/hnk-gorica-cibalia-jPHN4j3A/,Gorica,Cibalia,15 May 2015,3:1,,1.75,3.25,4.20,,,4.25,1.45,2.55,1.45,2.55,,,,,2.03,1.78,1.90,1.80,,,,,2.65,1.43,2.65,1.43,1.33,3.25,,,,,,,1.80,2.00,,,2.05,1.75,,,2.16,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80,1.39,2.80,1.39
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/zapresic-cibalia-8txQwJjQ/,Zapresic,Cibalia,06 Mar 2015,1:0,,1.80,3.25,4.00,1.80,3.25,4.00,,,,,,,,,,,,,,,,,,,,,1.36,3.00,,,,,,,1.88,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.93,1.88,1.93
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/hnk-gorica-dragovoljac-bR0k0GfR/,Gorica,Dragovoljac,07 Apr 2015,3:2,,1.36,3.80,8.50,1.40,3.75,7.50,1.33,3.00,1.33,3.00,,,,,1.80,2.00,1.70,2.03,,,,,2.20,1.60,2.20,1.60,1.11,6.00,,,,,,,,,,,,,,,1.63,2.14,,,1.98,1.83,,,,,,,,,,,,,,,,,,,,,,,2.10,1.65,,1.65
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/lucko-cibalia-nVc2vZX7/,Lucko,Cibalia,01 Apr 2015,0:1,0:0,2.86,3.25,2.20,,3.25,2.30,1.57,2.24,1.57,2.24,1.97,1.82,1.95,1.85,2.25,1.62,2.20,1.65,,,,,3.00,1.34,3.00,1.34,2.20,1.65,,,,,,,,,,,,,,,4.70,1.15,,,,,,,,,,,,,,,,,,,1.25,3.50,,,,,,,6.00,1.10,,1.10
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/bistra-sesvete-vPpl2xQE/,Bistra,Sesvete,01 Apr 2015,1:1,1:1,3.40,3.25,2.05,3.30,3.25,2.00,1.48,2.46,,,2.05,1.75,2.05,1.75,2.37,1.55,2.05,1.75,,,,,2.74,1.40,2.74,1.40,2.36,1.53,,,,,,,,,,,,,,,5.30,1.12,,,,,,,,,,,1.73,2.08,,,,,,,1.35,2.90,,,,,,,6.70,1.07,6.70,1.07
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/rudes-zapresic-lhmaCs5J/,Rudes,Zapresic,26 Apr 2015,1:1,,3.90,3.40,1.73,3.16,3.10,2.12,,,,,,,,,,,,,,,,,,,,,3.00,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,1.75,,,,,,,,,,,,,,,3.00,1.36,3.00,1.36
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/dragovoljac-segesta-jPuUhYn1/,Dragovoljac,Segesta,12 Apr 2015,1:0,0:0,1.85,3.30,3.95,1.92,3.30,3.45,,,,,,,,,,,,,,,,,,,,,1.40,2.75,,,,,,,1.90,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,1.90,1.90,1.90
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/segesta-hnk-gorica-YRgbuFI1/,Segesta,Gorica,01 Apr 2015,1:1,1:0,3.30,3.25,2.00,3.30,3.25,2.00,1.45,2.54,1.45,2.54,,,,,2.00,1.80,2.00,1.80,,,,,2.64,1.43,2.64,1.43,2.50,1.50,,,,,,,,,,,,,,,5.20,1.12,,,,,,,,,,,,,,,,,,,1.35,2.90,,,,,,,6.60,1.08,6.60,1.08
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/sesvete-cibalia-tjSw5acg/,Sesvete,Cibalia,01 May 2015,4:0,,2.05,3.02,3.35,,3.00,3.30,1.52,2.37,1.52,2.37,,,,,2.05,1.75,2.00,1.72,,,,,2.80,1.38,2.80,1.38,1.53,2.37,,,1.85,1.95,,,,,,,,,,,3.00,1.34,,,,,,,,,,,,,,,,,,,1.12,5.30,,,,,,,3.80,1.23,,1.23
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/dragovoljac-rudes-U9TE6CYc/,Dragovoljac,Rudes,15 May 2015,1:2,,1.55,3.60,5.30,1.85,3.30,3.70,1.56,2.28,1.56,2.28,,,,,2.15,1.67,2.06,1.68,,,,,3.00,1.35,3.00,1.35,1.22,4.00,,,,,,,,,,,1.76,2.04,,,2.20,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90,1.36,3.30,1.29
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/dugopolje-hnk-gorica-boBrrYsC/,Dugopolje,Gorica,22 Mar 2015,0:3,0:1,2.80,3.20,2.24,2.80,3.20,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,1.77,2.02,1.77
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/zapresic-imotski-KtRs4JCa/,Zapresic,Imotski,01 May 2015,3:1,,1.25,4.50,11.50,,3.80,,1.45,2.55,1.45,2.55,,,,,2.00,1.80,1.90,1.80,,,,,2.65,1.43,2.65,1.43,1.03,10.00,,,,,,,,,,,,,,,1.46,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,2.07,1.93,1.88
Croatia Prva NL,2014-2015,https://www.oddsportal.com/football/croatia/2-hnl-2014-2015/zapresic-segesta-b5PEmwBL/,Zapresic,Segesta,27 Mar 2015,2:0,,1.28,4.75,7.50,1.33,4.60,7.00,,,,,,,,,,,,,,,,,,,,,1.10,6.50,,,,,,,,,,,,,,,,,,,1.90,1.90,,,,,,,,,,,,,,,,,,,,,,,1.90,1.90,1.90,1.90
